team,position,player,salary,AB,R,HR,RBI,SB,AVG,IP,ERA,WHIP,SV,W,K,marginal_total_points,dollar_value
marmaduke,C1,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,C2,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,1B,Wilmer Flores,1,293,47.10280373831776,15.30841121495327,50.63551401869158,1.1775700934579438,0.279,NA,NA,NA,NA,NA,NA,0.23702204958330186,7.85250776002933
marmaduke,2B,Ozzie Albies,12,578,88.35725429017161,26.405616224648988,85.31045241809673,14.218408736349454,0.278,NA,NA,NA,NA,NA,NA,6.319221154382172,24.59644411912266
marmaduke,SS,Adalberto Mondesi,9,599,83.73993808049536,20.93498452012384,78.75541795665634,53.83281733746129,0.257,NA,NA,NA,NA,NA,NA,12.45301783796579,41.48242557745886
marmaduke,3B,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,CI,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,MI,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,OF1,Jesse Winker,6,393,65.72138228941685,19.8207343412527,62.59179265658748,3.1295896328293735,0.274,NA,NA,NA,NA,NA,NA,1.9705204139639596,12.62472678667724
marmaduke,OF2,Austin Meadows,11,450,66.68639053254438,21.26232741617357,62.82051282051282,10.631163708086785,0.256,NA,NA,NA,NA,NA,NA,3.1633113286548937,15.908410010649916
marmaduke,OF3,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,OF4,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,OF5,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,OF6,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,DH,,0,400,53.5,13.7,54,4.75,0.2255,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,P1,Tyler Glasnow,12,NA,NA,NA,NA,NA,NA,169,3.64,1.2,0,12,217,9.43,21.95
marmaduke,P2,Framber Valdez,6,NA,NA,NA,NA,NA,NA,171,3.57,1.31,0,13,175,7.75,17.33
marmaduke,P3,Kenta Maeda,17,NA,NA,NA,NA,NA,NA,181,4.43,1.3,0,12,186,6.68,14.39
marmaduke,P4,Corbin Burnes,1,NA,NA,NA,NA,NA,NA,158,4.12,1.32,0,10,177,5.84,12.079999999999998
marmaduke,P5,Devin Williams,7,NA,NA,NA,NA,NA,NA,63,3.7,1.31,3,3,80,1.07,-1.04
marmaduke,P6,,0,NA,NA,NA,NA,NA,NA,73,5.1,1.43,0,4.68,78.04285714285714,NA,NA
marmaduke,P7,,0,NA,NA,NA,NA,NA,NA,73,5.1,1.43,0,4.68,78.04285714285714,NA,NA
marmaduke,P8,,0,NA,NA,NA,NA,NA,NA,73,5.1,1.43,0,4.68,78.04285714285714,NA,NA
marmaduke,P9,,0,NA,NA,NA,NA,NA,NA,73,5.1,1.43,0,4.68,78.04285714285714,NA,NA
marmaduke,P10,,0,NA,NA,NA,NA,NA,NA,73,5.1,1.43,0,4.68,78.04285714285714,NA,NA
marmaduke,B1,Andrew Vaughn,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,B2,Marco Luciano,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,B3,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,B4,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,B5,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,B6,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,B7,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,B8,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,B9,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marmaduke,B10,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
