team,position,player,salary,AB,R,HR,RBI,SB,AVG,IP,ERA,WHIP,SV,W,K,marginal_total_points,dollar_value
marmaduke,C1,Yadier Molina,9,384.5,42.892922242782845,10.396978107319013,47.360567339784566,2.999451907426459,0.25466666666666665,NA,NA,NA,NA,NA,NA,-0.006749969705811543,6.977326952787892
marmaduke,C2,Jacob Stallings,2,326.6666666666667,33.570294848461366,7.599241154552626,35.456287206205374,0.4614944121178535,0.24133333333333334,NA,NA,NA,NA,NA,NA,-1.7634203945913134,1.0766972884417503
marmaduke,1B,Wilmer Flores,1,306.3333333333333,34.39310219198453,11.066079247832299,39.06825333022828,0.7156619101063545,0.2725,NA,NA,NA,NA,NA,NA,-0.6104337777944903,-2.0504379229859357
marmaduke,2B,Ozzie Albies,12,590.3333333333334,85.30950797643189,22.558376833472348,79.72255518587194,14.266248742740007,0.2771666666666667,NA,NA,NA,NA,NA,NA,6.279626488645194,21.093171385479867
marmaduke,SS,Adalberto Mondesi,9,561,80.5196268053972,18.002865806054494,66.0501256029549,50.78789268421632,0.24416666666666667,NA,NA,NA,NA,NA,NA,11.388456605238197,38.25365528105093
marmaduke,3B,Justin Turner,15,447.8333333333333,69.5256363164542,19.100101102360302,68.16383384821222,2.1992064676312753,0.2793333333333333,NA,NA,NA,NA,NA,NA,2.790433941903581,9.373025845225238
marmaduke,CI,Paul Goldschmidt,26,543.1666666666666,81.64360586843327,24.19499939706919,76.04910731933036,5.583285360825638,0.266,NA,NA,NA,NA,NA,NA,4.287643175150555,14.402129250325176
marmaduke,MI,Jorge Polanco,19,512.1666666666666,65.93329196696004,14.154707351301685,58.81722940074065,6.767801502968814,0.27216666666666667,NA,NA,NA,NA,NA,NA,2.613674731871427,8.7792943043586
marmaduke,OF1,Jesse Winker,6,415.6666666666667,66.05181469731536,20.15301935999343,62.20779656430958,2.0161700453700715,0.2705,NA,NA,NA,NA,NA,NA,2.316428845553632,7.780849821224571
marmaduke,OF2,Austin Meadows,11,467.1666666666667,69.51776054246844,23.306345950117652,68.10595256797343,10.308799985276968,0.2535,NA,NA,NA,NA,NA,NA,4.118709408107664,13.834683255332694
marmaduke,OF3,Joey Gallo,28,497.6666666666667,83.55425170527555,37.90796393322937,91.15798956205512,5.689716217327651,0.21333333333333332,NA,NA,NA,NA,NA,NA,4.971250415337902,16.69835573826993
marmaduke,OF4,Myles Straw,6,432.3333333333333,59.069134928431694,3.586082275445838,37.858864555293,25.670417907635134,0.2565,NA,NA,NA,NA,NA,NA,3.9360251443135152,13.221049547562352
marmaduke,OF5,Shogo Akiyama,5,407.8,50.91431269082691,8.014201144492976,38.36538988033474,8.435287162619407,0.2596,NA,NA,NA,NA,NA,NA,0.8677509697781612,2.914762519481641
marmaduke,OF6,Franchy Cordero,5,369,56.868327024162355,15.429973990557412,55.80164824997384,9.605101839298863,0.23783333333333334,NA,NA,NA,NA,NA,NA,2.1022846585770063,7.061542702358535
marmaduke,DH,Rhys Hoskins,26,505.5,87.20049413314135,31.106444123247503,88.76505813974347,2.769540691104332,0.23916666666666667,NA,NA,NA,NA,NA,NA,4.437831516070801,14.906609639542578
marmaduke,P1,Tyler Glasnow,12,NA,NA,NA,NA,NA,NA,146.5,3.49,1.17,0,10,197,8.54,12.89000000000001
marmaduke,P2,Framber Valdez,6,NA,NA,NA,NA,NA,NA,155,3.84,1.34,0,11,163,6.22,8.670000000000009
marmaduke,P3,Kenta Maeda,17,NA,NA,NA,NA,NA,NA,163,3.84,1.2,0,11,179,8.08,12.04000000000001
marmaduke,P4,Corbin Burnes,1,NA,NA,NA,NA,NA,NA,143,3.83,1.26,0,9,173,6.41,9.010000000000009
marmaduke,P5,Devin Williams,7,NA,NA,NA,NA,NA,NA,60.5,3.33,1.25,6,3,83,2.51,1.9499999999999997
